Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Select Flight page shows excessive empty space on responsive view,DEV-8,10103,Bug,To Do,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,Medium,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,19/Mar/26 4:39 PM,19/Mar/26 4:39 PM,,,,0,"Steps to reproduce: 

# Activate responsive/mobile view (e.g., using Chrome DevTools).
# Navigate to the Select Flight page.
# Observe the layout: most of the screen appears empty, and the flight options are not properly scaled.
# *Expected Result:*
# The page should utilize screen space efficiently on responsive layouts, showing flight options and action buttons without excessive empty space.
# *Actual Result:*
# Around 80% of the screen is empty; flight cards and action buttons appear compressed toward the top.",,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,19/Mar/26 4:38 PM;bd4f301e-e10f-48a0-8bf1-72f70a724df2;Screenshot 2026-03-19 at 16.38.07.png;https://plam-agileway.atlassian.net/rest/api/3/attachment/content/10039,,,0|i0001j:,,,,,,,,,,To Do,19/Mar/26 4:39 PM
Passanger Details -> System allows numeric values in Last Name field,DEV-7,10070,Bug,To Do,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,Medium,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,19/Mar/26 4:07 PM,19/Mar/26 4:07 PM,,,,0,"Steps to reproduce: 

# Open Passenger details page 
# Enter numeric value 
# Click “next” button

Expected result : system should display error message.

P",,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,19/Mar/26 4:06 PM;bd4f301e-e10f-48a0-8bf1-72f70a724df2;Screenshot 2026-03-19 at 16.02.23.png;https://plam-agileway.atlassian.net/rest/api/3/attachment/content/10037,,,0|i0001b:,,,,,,,,,,To Do,19/Mar/26 4:07 PM
No error message appears when leaving from or to fields empty,DEV-6,10069,Bug,To Do,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,Medium,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,19/Mar/26 3:59 PM,19/Mar/26 3:59 PM,,,,0,"Steps to reproduce:

1. Go to [travel.agileway.net|http://travel.agileway.net/flights/]

Open book flight page

# Leave from and to empty 
# Fill other fields with valid data

Expected result:

The booking should not complete and error message should appear.

Actual result:

No error message appears and booking is complete.",,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,19/Mar/26 3:59 PM;bd4f301e-e10f-48a0-8bf1-72f70a724df2;Screenshot 2026-03-19 at 15.53.31.png;https://plam-agileway.atlassian.net/rest/api/3/attachment/content/10035,,,0|i00013:,,,,,,,,,,To Do,19/Mar/26 3:59 PM
Booking -> User can't return to booking page,DEV-5,10036,Bug,To Do,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,Medium,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,16/Mar/26 3:17 PM,16/Mar/26 3:17 PM,19/Mar/26 3:44 PM,,,0,"Steps to reproduce:

# Login as valid user 
# Book a flight with all valid data 
# Pay for the flight



Expected result : there should be a return button and book a new flight

Actual result: User is stuck in flight information page and can’t go back.",,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,16/Mar/26 3:16 PM;bd4f301e-e10f-48a0-8bf1-72f70a724df2;Screenshot 2026-03-16 at 15.14.20.png;https://plam-agileway.atlassian.net/rest/api/3/attachment/content/10001,,,0|i0000v:,,,,,,,,,,To Do,16/Mar/26 3:17 PM
Subtask 2.1,DEV-4,10003,Subtask,To Do,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,16/Mar/26 11:21 AM,16/Mar/26 11:21 AM,,,,0,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,,,,0|i0000n:,DEV Sprint 0,,,,,,10001,DEV-2,Task 2,To Do,16/Mar/26 11:21 AM
Task 3,DEV-3,10002,Task,In Progress,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,16/Mar/26 11:21 AM,16/Mar/26 11:21 AM,,,,0,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,,,,0|i0000f:,,,,,,,,,,In Progress,16/Mar/26 11:21 AM
Task 2,DEV-2,10001,Task,In Progress,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,16/Mar/26 11:21 AM,16/Mar/26 11:21 AM,19/Mar/26 3:43 PM,,26/Mar/26 12:00 AM,0,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,,,,0|i00007:,DEV Sprint 0,,,,,,,,,In Progress,16/Mar/26 11:21 AM
Task 1,DEV-1,10000,Task,To Do,DEV,QA Testing,software,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Your first project,,,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,16/Mar/26 11:21 AM,16/Mar/26 11:21 AM,19/Mar/26 3:43 PM,,21/Mar/26 12:00 AM,0,,,Plamenna Koleva,712020:90c980cb-e0df-4300-bc49-f5882d2cafe1,,,,,,,,,,,,0|hzzzzz:,DEV Sprint 0,,,,,,,,,To Do,16/Mar/26 11:21 AM
